"id	Kanji	""Reading within Joyo""	""Translation of On""",,,
"400	供	キョウ、[ク]、そな-える、とも	""offer",,,
"401	協	キョウ	cooperation",,,
"402	況	キョウ	""still more",,,
"403	峡	キョウ	""gorge",,,
"404	挟	キョウ、はさ-む、はさ-まる	""put between",,,
"405	狭	キョウ、せま-い、せば-める、せば-まる	""narrow",,,
"406	恐	キョウ、おそ-れる、おそ-ろしい	""fear",,,
"407	恭	キョウ、うやうや-しい	""respectful",,,
"408	胸	キョウ、むね、[むな]	""chest",,,
"409	脅	キョウ、おびや-かす、おど-す、おど-かす	""threaten; coerce""",,,
"410	強	キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる	""strength",,,
"411	教	キョウ、おし-える、おそ-わる	faith",,,
"412	郷	キョウ、ゴウ	""village",,,
"413	境	キョウ、[ケイ]、さかい	""boundary; region; condition; stage""",,,
"414	橋	キョウ、はし	bridge",,,
"415	矯	キョウ、た-める	""straighten; correct",,,
"416	鏡	キョウ、かがみ	""mirror; speculum; barrelhead; round rice-cake offering""",,,
"417	競	キョウ、ケイ、きそ-う、せ-る	""emulate",,,
"418	響	キョウ、ひび-く	""sound",,,
"419	驚	キョウ、おどろ-く、おどろ-かす	""be surprised; be frightened",,,
"420	仰	ギョウ、[コウ]、あお-ぐ、おお-せ	""look up; look up to; ask for",,,
"421	暁	ギョウ、あかつき	""dawn",,,
"422	業	ギョウ、ゴウ、わざ	""vocation",,,
"423	凝	ギョウ、こ-る、こ-らす	""freeze",,,
"424	曲	キョク、ま-がる、ま-げる	""music",,,
"425	局	キョク	""bureau",,,
"426	極	キョク、ゴク、きわ-める、きわ-まる、きわ-み	""end; highest rank; the poles; (electric) poles""",,,
"427	玉	ギョク、たま	""gem",,,
"428	巾	キン	towel",,,
"429	斤	キン	""1.1/3 pounds",,,
"430	均	キン	""to level",,,
"431	近	キン、ちか-い	""early",,,
"432	金	キン、コン、かね、[かな]	""gold; money; Friday""",,,
"433	菌	キン	""fungus",,,
"434	勤	キン、[ゴン]、つと-める、つと-まる	""be fit for",,,
"435	琴	キン、こと	harp",,,
"436	筋	キン、すじ	""muscle",,,
"437	僅	キン、わず-か	""a little",,,
"438	禁	キン	""prohibition",,,
"439	緊	キン	""hard",,,
"440	錦	キン、にしき	""brocade; fine dress; honors""",,,
"441	謹	キン、つつし-む	""be discreet",,,
"442	襟	キン、えり	""neck",,,
"443	吟	ギン	""singing; recital; song; poem""",,,
"444	銀	ギン	silver",,,
"445	区	ク	""ward",,,
"446	句	ク	""phrase",,,
"447	苦	ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る	""suffering",,,
"448	駆	ク、か-ける、か-る	""run",,,
"449	具	グ	""tool; vessel; means; ingredients (in a dish); counter for armor",,,
"450	惧	グ	""fear",,,
"451	愚	グ、おろ-か	""folly",,,
"452	空	クウ、そら、あ-く、あ-ける、から	""air",,,
"453	偶	グウ	""even number; couple",,,
"454	遇	グウ	""treat",,,
"455	隅	グウ、すみ	corner",,,
"456	串	くし	-",,,
"457	屈	クツ	""bend",,,
"458	掘	クツ、ほ-る	""dig",,,
"459	窟	クツ	cavern",,,
"460	熊	くま	-",,,
"461	繰	く-る	-",,,
"462	君	クン、きみ	""mister (familiar)""",,,
"463	訓	クン	""Japanese reading (of a character); explanation of a character; lesson; regulation; rule""",,,
"464	勲	クン	""merit",,,
"465	薫	クン、かお-る	""send forth fragrance",,,
"466	軍	グン	""army",,,
"467	郡	グン	""county",,,
"468	群	グン、む-れる、む-れ、[むら]	""group",,,
"469	兄	ケイ、[キョウ]、あに	""brother; you; elder brother""",,,
"470	刑	ケイ	""penalty",,,
"471	形	ケイ、ギョウ、かた、かたち	shape",,,
"472	系	ケイ	""system; lineage; faction",,,
"473	径	ケイ	""path; diameter; method""",,,
"474	茎	ケイ、くき	""stem",,,
"475	係	ケイ、かか-る、かかり	""duty; person in charge""",,,
"476	型	ケイ、かた	""model",,,
"477	契	ケイ、ちぎ-る	""pledge",,,
"478	計	ケイ、はか-る、はか-らう	""plan",,,
"479	恵	ケイ、エ、めぐ-む	""blessing",,,
"480	啓	ケイ	""open",,,
"481	掲	ケイ、かか-げる	""put up",,,
"482	渓	ケイ	valley",,,
"483	経	ケイ、キョウ、へ-る	""longitude; sutra; warp""",,,
"484	蛍	ケイ、ほたる	firefly",,,
"485	敬	ケイ、うやま-う	""respect",,,
"486	景	ケイ	""view",,,
"487	軽	ケイ、かる-い、かろ-やか	""light; trifling",,,
"488	傾	ケイ、かたむ-く、かたむ-ける	""lean",,,
"489	携	ケイ、たずさ-える、たずさ-わる	""carry (in the hand); be armed with; carry along",,,
"490	継	ケイ、つ-ぐ	""succeed to",,,
"491	詣	ケイ、もう-でる	""visit a temple or shrine""",,,
"492	慶	ケイ	congratulate",,,
"493	憬	ケイ	""long for""",,,
"494	稽	ケイ	""think",,,
"495	憩	ケイ、いこ-い、いこ-う	""rest",,,
"496	警	ケイ	""admonish",,,
"497	鶏	ケイ、にわとり	chicken",,,
"498	芸	ゲイ	""art",,,
"499	迎	ゲイ、むか-える	""meet",,,
"500	鯨	ゲイ、くじら	whale",,,
"501	隙	ゲキ、すき	""crevice",,,
"502	劇	ゲキ	""drama",,,
"503	撃	ゲキ、う-つ	""attack",,,
"504	激	ゲキ、はげ-しい	""get excited",,,
"505	桁	けた	-",,,
"506	欠	ケツ、か-ける、か-く	""lack",,,
"507	穴	ケツ、あな	""hole",,,
"508	血	ケツ、ち	blood",,,
"509	決	ケツ、き-める、き-まる	""decision",,,
"510	結	ケツ、むす-ぶ、ゆ-う、ゆ-わえる	""tie",,,
"511	傑	ケツ	excellent",,,
"512	潔	ケツ、いさぎよ-い	""pure",,,
"513	月	ゲツ、ガツ、つき	""moon; month; Monday; month (of the year)""",,,
"514	犬	ケン、いぬ	dog",,,
"515	件	ケン	""matter",,,
"516	見	ケン、み-る、み-える、み-せる	""hopes",,,
"517	券	ケン	""ticket",,,
"518	肩	ケン、かた	shoulder",,,
"519	建	ケン、[コン]、た-てる、た-つ	""build",,,
"520	研	ケン、と-ぐ	""sharpen",,,
"521	県	ケン	""prefecture; district (in China)""",,,
"522	倹	ケン	economy",,,
"523	兼	ケン、か-ねる	""and",,,
"524	剣	ケン、つるぎ	""sword",,,
"525	拳	ケン、こぶし	fist",,,
"526	軒	ケン、のき	""house counter""",,,
"527	健	ケン、すこ-やか	""health",,,
"528	険	ケン、けわ-しい	""inaccessible place",,,
"529	圏	ケン	""sphere",,,
"530	堅	ケン、かた-い	""hard",,,
"531	検	ケン	investigation",,,
"532	嫌	ケン、[ゲン]、きら-う、いや	""dislike",,,
"533	献	ケン、[コン]	""counter for drinks""",,,
"534	絹	ケン、きぬ	""silk",,,
"535	遣	ケン、つか-う、つか-わす	""send",,,
"536	権	ケン、[ゴン]	""authority",,,
"537	憲	ケン	law",,,
"538	賢	ケン、かしこ-い	""wisdom",,,
"539	謙	ケン	""humble oneself",,,
"540	鍵	ケン、かぎ	(piano)key",,,
"541	繭	ケン、まゆ	cocoon",,,
"542	顕	ケン	""appear",,,
"543	験	ケン、[ゲン]	""effect; testing. beneficial effect (of austerities)""",,,
"544	懸	ケン、[ケ]、か-ける、か-かる	""hang; set up (a ladder); cover; construct",,,
"545	元	ゲン、ガン、もと	""yuan; origin; New Year’s Day; first year of an era. Gen Mongol (dynasty)""",,,
"546	幻	ゲン、まぼろし	""vision",,,
"547	玄	ゲン	""occultness",,,
